"filename", "language", "JavaScript", "Vue.js", "comment", "blank", "total"
"d:\AcWing\spring\web\src\App.vue", "Vue.js", 0, 29, 0, 4, 33
"d:\AcWing\spring\web\src\assets\scripts\AcGameObject.js", "JavaScript", 39, 0, 0, 7, 46
"d:\AcWing\spring\web\src\assets\scripts\reversi\GameMap.js", "JavaScript", 198, 0, 3, 16, 217
"d:\AcWing\spring\web\src\assets\scripts\reversi\Reversi.js", "JavaScript", 53, 0, 0, 8, 61
"d:\AcWing\spring\web\src\assets\scripts\snake\Cell.js", "JavaScript", 8, 0, 0, 1, 9
"d:\AcWing\spring\web\src\assets\scripts\snake\GameMap.js", "JavaScript", 158, 0, 4, 15, 177
"d:\AcWing\spring\web\src\assets\scripts\snake\Snake.js", "JavaScript", 117, 0, 7, 22, 146
"d:\AcWing\spring\web\src\assets\scripts\snake\Wall.js", "JavaScript", 20, 0, 0, 6, 26
"d:\AcWing\spring\web\src\components\ChatGround.vue", "Vue.js", 0, 451, 1, 16, 468
"d:\AcWing\spring\web\src\components\ContentField.vue", "Vue.js", 0, 16, 0, 2, 18
"d:\AcWing\spring\web\src\components\LoginRegister.vue", "Vue.js", 0, 504, 7, 26, 537
"d:\AcWing\spring\web\src\components\MatchGround.vue", "Vue.js", 0, 203, 0, 7, 210
"d:\AcWing\spring\web\src\components\PlayGround.vue", "Vue.js", 0, 33, 0, 4, 37
"d:\AcWing\spring\web\src\components\ResultBoard.vue", "Vue.js", 0, 120, 0, 9, 129
"d:\AcWing\spring\web\src\components\ReversiGameMap.vue", "Vue.js", 0, 238, 0, 13, 251
"d:\AcWing\spring\web\src\components\SnakeGameMap.vue", "Vue.js", 0, 210, 0, 8, 218
"d:\AcWing\spring\web\src\components\navbar\MyspaceNavBar.vue", "Vue.js", 0, 37, 0, 4, 41
"d:\AcWing\spring\web\src\components\navbar\NarBar.vue", "Vue.js", 0, 156, 0, 5, 161
"d:\AcWing\spring\web\src\components\user\UserProfilePosts.vue", "Vue.js", 0, 131, 0, 3, 134
"d:\AcWing\spring\web\src\components\user\UserProfileWrite.vue", "Vue.js", 0, 127, 0, 7, 134
"d:\AcWing\spring\web\src\main.js", "JavaScript", 5, 0, 0, 2, 7
"d:\AcWing\spring\web\src\router\index.js", "JavaScript", 171, 0, 0, 8, 179
"d:\AcWing\spring\web\src\store\index.js", "JavaScript", 24, 0, 0, 1, 25
"d:\AcWing\spring\web\src\store\pk.js", "JavaScript", 14, 0, 0, 1, 15
"d:\AcWing\spring\web\src\store\record.js", "JavaScript", 46, 0, 0, 1, 47
"d:\AcWing\spring\web\src\store\reversi.js", "JavaScript", 63, 0, 0, 1, 64
"d:\AcWing\spring\web\src\store\snake.js", "JavaScript", 65, 0, 0, 1, 66
"d:\AcWing\spring\web\src\store\user.js", "JavaScript", 117, 0, 0, 1, 118
"d:\AcWing\spring\web\src\views\dynamic\DynamicsView.vue", "Vue.js", 0, 102, 0, 7, 109
"d:\AcWing\spring\web\src\views\error\NotFound.vue", "Vue.js", 0, 14, 0, 2, 16
"d:\AcWing\spring\web\src\views\index\IndexView.vue", "Vue.js", 0, 142, 1, 4, 147
"d:\AcWing\spring\web\src\views\pk\PkIndexView.vue", "Vue.js", 0, 127, 12, 2, 141
"d:\AcWing\spring\web\src\views\pk\ReversiView.vue", "Vue.js", 0, 172, 1, 16, 189
"d:\AcWing\spring\web\src\views\pk\SnakeView.vue", "Vue.js", 0, 165, 0, 14, 179
"d:\AcWing\spring\web\src\views\ranklist\RanklistIndexView.vue", "Vue.js", 0, 170, 0, 7, 177
"d:\AcWing\spring\web\src\views\record\RecordContentView.vue", "Vue.js", 0, 32, 0, 2, 34
"d:\AcWing\spring\web\src\views\record\RecordIndexView.vue", "Vue.js", 0, 267, 0, 13, 280
"d:\AcWing\spring\web\src\views\user\DisplayView.vue", "Vue.js", 0, 138, 0, 8, 146
"d:\AcWing\spring\web\src\views\user\LoginView.vue", "Vue.js", 0, 18, 0, 2, 20
"d:\AcWing\spring\web\src\views\user\bot\UserBotIndexView.vue", "Vue.js", 0, 518, 0, 16, 534
"d:\AcWing\spring\web\src\views\user\myspace\MyspaceView.vue", "Vue.js", 0, 288, 0, 12, 300
"d:\AcWing\spring\web\src\views\user\myspace\PostView.vue", "Vue.js", 0, 57, 0, 3, 60
"Total", "-", 1098, 4465, 36, 307, 5906